Name,Title,Email
Geraldine Downey,Professor of Psychology,
Carl Hart,Professor of Psychology,
Kevin Ochsner,Professor of Psychology,
Nim Tottenham,Professor of Psychology,
Walter Mischel,Professor Emeritus of Psychology,
Hakwan Lau,Associate Professor of Psychology,
Diana Martinez,Professor of Clinical Psychology (in Psychiatry),
Joachim Vosgerau,Visiting Professor of Psychology,
Tor Wager,Professor of Psychological Sciences (adjunct at Columbia),
Jacqueline Gottlieb,Professor of Neuroscience (affiliated with Psychology),
