Name,Title,Email
Pamela J. Bjorkman,David Baltimore Professor of Biology and Biological Engineering,
Alexander Varshavsky,Thomas Hunt Morgan Professor of Biology,
David Anderson,Seymour Benzer Professor of Biology,
Mary B. Kennedy,Professor of Biology,
Viviana Gradinaru,Professor of Neuroscience and Biological Engineering,
Lior Pachter,Bren Professor of Computational Biology and Computing & Mathematical Sciences,
Niles A. Pierce,Professor of Applied & Computational Mathematics and Bioengineering,
Paul W. Sternberg,Bren Professor of Biology,
Bruce Hay,Professor of Biology,
Magdalena Zernicka-Goetz,Bren Professor of Biology and Biological Engineering,
