Name,Title,Email,Source
Theresa Anderson,The Gregg Zeitlin Associate Professor (Mathematical Sciences),,cmu.edu
Jeremy Avigad,Professor of Philosophy and Mathematical Sciences,,cmu.edu
Steve Awodey,Professor of Philosophy (Courtesy in Mathematical Sciences),,cmu.edu
Nicholas Boffi,Assistant Professor (Mathematical Sciences),,cmu.edu
Tom Bohman,Professor (Mathematical Sciences),,cmu.edu
Boris Bukh,Professor (Mathematical Sciences),,cmu.edu
Clinton Conley,Associate Professor (Mathematical Sciences),,cmu.edu
James Cummings,Professor (Mathematical Sciences),,cmu.edu
Christopher Eur,Assistant Professor (Mathematical Sciences),,cmu.edu
Irene Fonseca,Kavčić-Moura University Professor of Mathematics,,cmu.edu
Siva Balakrishnan,Professor (Statistics & Data Science),,cmu.edu
Eli Ben-Michael,Assistant Professor (Joint with Heinz College),,cmu.edu
Zach Branson,Associate Teaching Professor (Assistant Director for Undergraduate Program),,cmu.edu
David Choi,Associate Professor of Statistics & Information Systems,,cmu.edu
Bernie Devlin,Professor (Statistics & Data Science),,cmu.edu
Peter Freeman,Associate Teaching Professor (Undergraduate Program Director),,cmu.edu
Christopher Genovese,Professor (Statistics & Data Science),,cmu.edu
Joel Greenhouse,Professor (Statistics & Data Science),,
Amelia Haviland,E.J. Barone Professor (Health Systems Management),,cmu.edu
Jiashun Jin,Professor (Statistics & Data Science),,cmu.edu
