Name,Title,Email,Source
Catherine Armbruster,Assistant Professor (Biological Sciences),,cmu.edu
Alison Barth,Professor (Biological Sciences),,cmu.edu
Drew Bridges,Assistant Professor (Biological Sciences),,cmu.edu
En Cai,Assistant Professor (Biological Sciences),,cmu.edu
Dannie Durand,Associate Professor (Biological Sciences),,cmu.edu
Charles Ettensohn,Professor (Biological Sciences),,cmu.edu
Aryn Gittis,Dr. Frederick A. Schwertz Distinguished Professor of Life Sciences,,cmu.edu
Jonathan Henninger,Assistant Professor (Biological Sciences),,cmu.edu
Luisa Hiller,Associate Professor (Biological Sciences),,cmu.edu
Kate Hong,Assistant Professor (Biological Sciences),,cmu.edu
