Name,Title,Email
Andrew Smyth,Professor of Civil Engineering (Department Chair),
Patricia J. Culligan,Professor of Civil Engineering,
Xiao Chen,Associate Professor of Civil Engineering,
Upmanu Lall,Alan & Carol Silberstein Professor of Earth & Environmental Engineering,
Pierre Gentine,Associate Professor of Earth & Environmental Engineering,
Christine Shoemaker,Professor Emerita of Earth & Environmental Engineering,
Nicolas Theodorakopoulos,Assistant Professor of Civil Engineering,
Elizabeth (Beth) K. Hillman,Assistant Professor of Biomedical Engineering (affiliated with Environmental Eng.),
Viraj Master,Lecturer in Civil Engineering,
Kartik Chandran,Professor of Earth & Environmental Engineering,
