Name,Title,Email
George Housner,"Civil Engineering Chair, Emeritus",
Domniki Asimaki,Professor of Mechanical and Civil Engineering,
José E. Andrade,George W. Housner Professor of Civil and Mechanical Engineering,
Leonard J. Schulman,Professor of Computer Science (courtesy; related to civil algorithms),
Tapio Schneider,Theodore Y. Wu Professor of Environmental Science and Engineering,
Andrew Thompson,Professor of Environmental Science and Engineering,
Jess F. Adkins,Smits Family Professor of Geochemistry and Global Environmental Science (ESE),
Jörn Callies,Professor of Oceanography and Environmental Science (ESE),
Christian Frankenberg,Professor of Environmental Science and Engineering,
Smruthi Karthikeyan,Assistant Professor of Environmental Science and Engineering,
