Name,Title,Email
Dorothy Charamella,Professor of Biology,
Nancy Bonini,Florence R. C. Murray Professor of Biology,
Paul Sniegowski,Professor of Biology,
Scott Poethig,Professor of Biology,
Sarah Tishkoff,David & Lyn Silfen University Professor (Genetics & Biology),
Doris Wagner,Professor of Biology (Dept. Chair),
Junhyong Kim,Patricia M. Williams Term Professor of Biology,
Michael Lampson,Professor of Biology,
Joshua Plotkin,Professor of Biology,
Bil Clemons,Adjunct Professor of Biology (structural biology),
