Name,Title,Email
Sigrid Adriaenssens,Associate Professor of Civil and Environmental Engineering,
James A. Smith,William L. Knapp Professor of Civil Engineering,
Peter Jaffé,Professor of Civil and Environmental Engineering,
Catherine A. Peters,Professor of Civil and Environmental Engineering,
Nan Yao,Senior Research Scholar in Civil and Environmental Engineering,
Elie Bou-Zeid,Professor of Civil and Environmental Engineering,
Ian Bourg,Assistant Professor of Civil and Environmental Engineering,
Ning Lin,Associate Professor of Civil and Environmental Engineering,
Denise Mauzerall,Professor of Civil and Environmental Engineering and Public Affairs,
Kelly Caylor,Professor of Civil and Environmental Engineering,
