Name,Title,Email
Eduardo G. D. S. “Edu”  Sanches,Professor of Civil Engineering (Department Chair),
Michel Boufadel,Professor of Environmental Engineering,
Gabriel Vecchi,Professor of Earth & Environmental Science (affiliated with CEE),
Megan Ryerson,UPS Chair of Transportation (Assoc. Professor in City & Regional Planning and CEE),
Mark Allen,Alfred Fitler Moore Professor (joint ESE/MEAM; secondary in CEE),
Arjun Yodh,Professor of Physics (affiliated with CEE),
Andrew Smyth,Adjunct Professor of CEE (Columbia faculty),
Bruce Kothmann,Practice Professor of CEE,
Joseph M. Sussman,Professor of Practice in CEE,
Xi (Peter) Chen,Assistant Professor of CEE,
