Name,Title,Email
Mung Chiang,John A. Edwardson Dean of Engineering; Roscoe H. George Distinguished Professor of ECE,
Vladimir Shalaev,Distinguished Professor of ECE,
David E. Peroulis,Michael and Katherine Birck Professor of ECE (ECE Dept. Head),
Joerg Appenzeller,Professor of ECE,
Alejandro Strachan,Professor of Materials Engineering and ECE,
Andrew Weiner,Scifres Family Distinguished Professor of ECE,
Supriyo Datta,Thomas Duncan Distinguished Professor of ECE,
Dimitrios Peroulis,Professor of ECE (and Administrative Dean),
Shreyas Sen,Associate Professor of ECE,
Alexandra Boltasseva,Professor of ECE,
