Name,Title,Email
Bonnie L. Bassler,Squibb Professor of Molecular Biology,
Coleen T. Murphy,Professor of Molecular Biology,
Yibin Kang,Warner-Lambert/Parke-Davis Professor of Molecular Biology,
Nathalie Balaban,Visiting Professor of Molecular Biology,
Clifford P. Brangwynne,Professor of Chemical & Biological Engineering,
Stanley N. Cohen,Professor of Genetics (associated),
David Botstein,"Anthony B. Evnin ’62 Professor of Genomics, Emeritus",
Thomas Shenk,James A. Elkins Professor of Life Sciences,
Martin Wühr,Assistant Professor of Molecular Biology,
Zemer Gitai,Professor of Molecular Biology,
