Name,Title,Email
Graham Cooks,Henry Bohn Hass Distinguished Professor of Chemistry,
P. Viviane Fleischhut,Professor of Chemistry,
Joseph Francisco,Professor of Earth & Atmospheric Sciences and Chemistry,
Hicham Fenniri,Professor of Medicinal Chemistry (courtesy in Chemistry),
Suzanne Bart,Professor of Chemistry,
Tong Ren,Professor of Chemistry,
Dave Coltart,Professor of Chemistry,
Stephen Hoffmann,Professor of Chemistry,
Alan Friedman,Professor Emeritus of Chemistry,
Mary J. Wirth,W. Brooks Fortune Distinguished Professor of Chemistry,
