Name,Title,Email
José Avilés,Professor of Chemical and Biological Engineering,
Sujit S. Datta,Associate Professor of Chemical and Biological Engineering,
Ilhan A. Aksay,Professor of Chemical and Biological Engineering,
Stanley Katz,Professor of Chemical and Biological Engineering,
Bryan B. Hunter,Assistant Professor of Chemical and Biological Engineering,
Lynn Loo,Professor of Chemical and Biological Engineering,
Z. Jason Ren,Professor of Civil and Environmental Engineering (courtesy in CBE),
Rodney Priestley,Professor of Chemical and Biological Engineering,
Bruce Koel,Professor of Chemical and Biological Engineering,
Christos Maravelias,Professor of Chemical and Biological Engineering,
