Name,Title,Email
Virgil Percec,P. Roy Vagelos Professor of Chemistry,
Karen Goldberg,Vagelos Professor of Energy Research (Chemistry),
Patrick Walsh,Professor of Chemistry,
Christopher Murray,Richard Perry University Professor (Chemistry & MSE),
Marisa Kozlowski,Professor of Chemistry,
Gary Molander,Hirschmann-Makineni Professor of Chemistry,
Barry Cooperman,Professor Emeritus of Chemistry,
Michael J. Bear,Assistant Professor of Chemistry,
Thomas Mallouk,Professor of Chemistry,
Ani Ni,Assistant Professor of Chemistry,
